ModelNumber,Name,Category,Colors,Status
"1106623","TRAIL ACTION HOODED JACKET KID'S","KIDS & BABY","BK/BK;CARNA;SPBL","No mapping"
"1106624","TRAIL ACTION HOODED JACKET KID'S","KIDS & BABY","CARNA;SPBL","No mapping"
"1106664","CLIMAPLUS KNIT CARDIGAN WOMEN'S","THERMAL","BK;DBN;DKNV;IV","No mapping"
"1106688","CLIMAAIR LINED JACKET MEN'S","THERMAL","BK;DGN;NV","No mapping"
"1106689","CLIMAAIR LINED JACKET WOMEN'S","THERMAL","IV;NV;STGN","No mapping"
"1106697","CLIMAAIR JACKET KID'S","KIDS & BABY","BK;BLRI;IV;TQ","No mapping"
"1106698","CLIMAAIR JACKET KID'S","KIDS & BABY","BK;BL;IV;PK","No mapping"
"1106699","CLIMAAIR VEST KID'S","KIDS & BABY","BK;BLRI;IV;TQ","No mapping"
"1106700","CLIMAAIR VEST KID'S","KIDS & BABY","BL;IV;NV;PK","No mapping"
"1106719","CLIMAAIR REVERSIBLE JACKET KID'S","KIDS & BABY","IV;NV;WRD","No mapping"
"1106720","CLIMAAIR REVERSIBLE JACKET KID'S","KIDS & BABY","BL;IV;PK","No mapping"
"1106723","CLIMABARRIER HOODED JACKET MEN'S","SOFT SHELL","BK;NV;OG","No mapping"
"1106724","CLIMABARRIER HOODED JACKET WOMEN'S","SOFT SHELL","BGN;BK;LGY","No mapping"
"1106746","CLIMAPLUS SHEARLING JACKET MEN'S","THERMAL","DBN;IV;NV","No mapping"
"1106747","CLIMAPLUS SHEARLING JACKET WOMEN'S","THERMAL","BN;IV;KH","No mapping"
"1106748","CLIMAPLUS SHEARLING VEST MEN'S","THERMAL","IV;NV","No mapping"
"1106749","CLIMAPLUS SHEARLING VEST WOMEN'S","THERMAL","IV;KH","No mapping"
"1106750","CLIMAPLUS SHEARLING CARDIGAN WOMEN'S","THERMAL","BK;IV;KH","No mapping"
"1106759","MITTELLEGI FULL-ZIP SWEATER MEN'S","THERMAL","BK;DGN;NV","No mapping"
"1106760","MITTELLEGI FULL-ZIP SWEATER WOMEN'S","THERMAL","IV;NV","No mapping"
"1106761","MITTELLEGI HALF-ZIP SWEATER MEN'S","THERMAL","DGY;OG","No mapping"
"1106762","MITTELLEGI SWEATER MEN'S","THERMAL","DGY;NV","No mapping"
"1106763","MITTELLEGI SWEATER WOMEN'S","THERMAL","IV;NV","No mapping"
"1106764","CLIMAPLUS SHEARLING JACKET KID'S","KIDS & BABY","IV;KH;NV","No mapping"
"1106765","CLIMAPLUS SHEARLING JACKET KID'S","KIDS & BABY","IV;KH;NV","No mapping"
"1106766","CLIMAPLUS SHEARLING VEST KID'S","KIDS & BABY","IV;NV","No mapping"
"1106767","CLIMAPLUS SHEARLING VEST KID'S","KIDS & BABY","IV;NV","No mapping"
"1106797","CLIMATWEED JACKET MEN'S","THERMAL","DGN;GY;RD","No mapping"
